RecipeName,RecipeDescription,RecipeId,Lettuce from direct recipe,Lettuce from sub recipe,total_lettuce
FfB/Ham           ,Ham FtFbd                                 ,2,0,2,2
Sld/Ham           ,Ham Salad                                 ,9,0,4,4
GS3/StdBse        ,Standard Base 3FTGnt                      ,959,12,0,12
GS6/StdBse        ,Standard Base 6FTGntSub                   ,960,24,0,24
PlS/MeatCh        ,MeatChsPlatter SndPlt                     ,1044,10,0,10
Sld/DCkChS        ,DblChkChpSld Salad                        ,1220,5,0,5
FtL/B.M.T.        ,B.M.T. FtLong                             ,1415,0,2,2
Sld/DCkChS        ,DblChkChpSld Salad                        ,1778,5,0,5
3fb/Ham           ,Ham 3Fbd                                  ,1815,1,0,1
3fb/BLT           ,BLT 3Fbd                                  ,1816,1,0,1
3fb/PizzaS        ,Pizza Sub 3Fbd                            ,1817,1,0,1
3fb/Tuna          ,Tuna 3Fbd                                 ,1818,1,0,1
3fb/Turkey        ,Turkey 3Fbd                               ,1819,1,0,1
GS3/StdBse        ,Standard Base 3FTGnt                      ,1831,12,0,12
PlS/MeatCh        ,MeatChsPlatter SndPlt                     ,1832,10,0,10
GS6/StdBse        ,Standard Base 6FTGntSub                   ,2237,24,0,24
GS18StdBse        ,"Standard Base 18""GntSub                   ",3553,6,0,6
BxL/B.M.T.        ,B.M.T. BoxLn                              ,3680,0,2,2
GS3/StdBse        ,Standard Base 3FTGnt                      ,4333,12,0,12
GS6/StdBse        ,Standard Base 6FTGntSub                   ,4334,24,0,24
GS18StdBse        ,"Standard Base 18""GntSub                   ",4394,12,0,12
GS1818inT2        ,"18in Giant Sub Tier 2 18""GntSub           ",4396,12,0,12
GS1818inT3        ,"18in Giant Sub Tier 3 18""GntSub           ",4397,12,0,12
GS1818inT4        ,"18in Giant Sub Tier 4 18""GntSub           ",4398,12,0,12
GS3/3ftGT2        ,3ft Giant Sub Tier 2 3FTGnt               ,4399,12,0,12
GS3/3ftGT3        ,3ft Giant Sub Tier 3 3FTGnt               ,4400,12,0,12
GS3/3ftGT4        ,3ft Giant Sub Tier 4 3FTGnt               ,4401,12,0,12
GS6/6ftGT2        ,6ft Giant Sub Tier 2 6FTGntSub            ,4402,24,0,24
GS6/6ftGT3        ,6ft Giant Sub Tier 3 6FTGntSub            ,4403,24,0,24
GS6/6ftGT4        ,6ft Giant Sub Tier 4 6FTGntSub            ,4404,24,0,24
Sld/Ham           ,Ham Salad                                 ,4460,0,4,4
Sld/EggChs        ,Egg & Cheese Salad                        ,4591,1,0,1
Six/SLBMT         ,School Lunch BMT 6 inch                   ,4653,0,2,2
GS3/StdBse        ,Standard Base 3FTGnt                      ,7032,12,0,12
GS18StdBse        ,"Standard Base 18""GntSub                   ",7034,12,0,12
GS6/StdBse        ,Standard Base 6FTGntSub                   ,7036,24,0,24
